rsi_threshold,vol_mult,trailing_stop_pct,take_profit_pct,portfolio_return_pct,portfolio_sharpe,max_drawdown_pct,total_trades,beats_spy,per_stock
45,1.5,4.0,20.0,-0.5913695178474798,-6.490426347022902,-6.174336740313572,13,False,"{'R': np.float64(0.05235340176284575), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.07523045907215531), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.06013185523440778)}"
45,1.5,6.0,12.0,-0.3702748012487733,-9.80342778089712,-8.59160499340553,14,False,"{'R': np.float64(0.07627144533051777), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.08815134603406616), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.08591604993405533)}"
45,1.5,6.0,15.0,-0.2340179887317584,-10.97514867827956,-8.59160499340553,13,False,"{'R': np.float64(0.05235340176284575), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.11888223022758893), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.08591604993405533)}"
45,1.5,6.0,20.0,-1.1070534118404307,-11.209049682700032,-8.59160499340553,13,False,"{'R': np.float64(0.05235340176284575), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.07523045907215531), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.08591604993405533)}"
45,1.5,8.0,12.0,-2.0878505659112,-6.110516252108136,-17.179483816717664,14,False,"{'R': np.float64(0.07627144533051777), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.08815134603406616), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.17179483816717667)}"
45,1.5,8.0,15.0,-1.9515937533941854,-7.282237149490575,-17.179483816717664,13,False,"{'R': np.float64(0.05235340176284575), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.11888223022758893), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.17179483816717667)}"
45,1.5,8.0,20.0,-2.8246291765028575,-7.516138153911046,-17.179483816717664,13,False,"{'R': np.float64(0.05235340176284575), 'GWW': np.float64(-0.05651092073334185), 'BEN': np.float64(0.07523045907215531), 'MBIN': np.float64(-0.04050956075962542), 'VIAV': np.float64(-0.17179483816717667)}"
50,1.0,4.0,12.0,5.996878889821162,3.102246539840906,-13.107559793060295,28,False,"{'R': np.float64(0.18543437839393517), 'GWW': np.float64(0.06686664260494823), 'BEN': np.float64(0.1566336222208209), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.09030540955223287)}"
50,1.0,4.0,15.0,5.921425388317845,8.991222187902165,-13.107559793060295,26,False,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.06686664260494823), 'BEN': np.float64(0.1566336222208209), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.09030540955223287)}"
50,1.0,4.0,20.0,8.071082619675582,9.51476618873383,-10.545504793876319,25,True,"{'R': np.float64(0.1816617033187693), 'GWW': np.float64(0.06686664260494823), 'BEN': np.float64(0.16127828731015548), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(0.012532786926319428)}"
50,1.0,6.0,12.0,5.358243287039636,2.862554967829813,-12.911564307660289,27,False,"{'R': np.float64(0.18543437839393517), 'GWW': np.float64(0.06686664260494823), 'BEN': np.float64(0.1566336222208209), 'MBIN': np.float64(-0.01878528917641331), 'VIAV': np.float64(-0.12223718969130914)}"
